ATM_ID,Date,Day_of_Week,Time_of_Day,Total_Withdrawals,Total_Deposits,Location_Type,Holiday_Flag,Special_Event_Flag,Previous_Day_Cash_Level,Weather_Condition,Nearby_Competitor_ATMs,Cash_Demand_Next_Day,Year,Month,Month_Name,Quarter,Net_Cash_Flow,Cash_Utilization_Rate,Cash_Risk
ATM_0041,2022-04-25,Monday,Morning,57450,9308,Standalone,0,0,112953,Rainy,5,44165,2022,4,April,2,48142,50.86186289872779,Normal
ATM_0007,2023-11-24,Friday,Morning,72845,17896,Supermarket,0,0,115348,Clear,0,41249,2023,11,November,4,54949,63.15237368658321,Normal
ATM_0014,2022-08-27,Saturday,Morning,42957,12712,Supermarket,0,0,90731,Cloudy,1,29901,2022,8,August,3,30245,47.34544973603289,Normal
ATM_0029,2023-08-27,Sunday,Evening,43014,1375,Mall,0,0,88754,Rainy,5,44155,2023,8,August,3,41639,48.464294567005425,Normal
ATM_0028,2022-12-15,Thursday,Evening,36379,2938,Bank Branch,0,0,129312,Snowy,0,29784,2022,12,December,4,33441,28.132733234347935,Normal
ATM_0006,2023-01-25,Wednesday,Morning,46613,7278,Standalone,1,0,102218,Snowy,0,49358,2023,1,January,1,39335,45.60155745563404,Normal
ATM_0047,2023-04-16,Sunday,Morning,40990,8541,Gas Station,0,0,87965,Snowy,5,28407,2023,4,April,2,32449,46.598078781333484,Normal
ATM_0040,2023-01-06,Friday,Afternoon,77784,14112,Mall,0,0,75583,Rainy,2,61200,2023,1,January,1,63672,102.91203048304513,High Risk
ATM_0006,2022-08-27,Saturday,Morning,30077,10984,Gas Station,0,0,114769,Snowy,1,18557,2022,8,August,3,19093,26.206554034626073,Normal
ATM_0024,2022-12-30,Friday,Afternoon,52570,9421,Standalone,0,0,93977,Clear,4,44240,2022,12,December,4,43149,55.93921917064814,Normal
ATM_0041,2022-06-25,Saturday,Afternoon,43090,15285,Bank Branch,0,0,106872,Snowy,5,23127,2022,6,June,2,27805,40.319260423684405,Normal
ATM_0045,2023-07-25,Tuesday,Afternoon,23554,6615,Standalone,0,0,112233,Clear,1,12890,2023,7,July,3,16939,20.986697317188348,Normal
ATM_0003,2022-11-20,Sunday,Night,65464,14656,Standalone,0,0,83215,Snowy,1,63076,2022,11,November,4,50808,78.66850928318212,High Risk
ATM_0042,2023-05-27,Saturday,Night,45361,7604,Gas Station,0,0,96286,Rainy,1,36893,2023,5,May,2,37757,47.11069106619862,Normal
ATM_0048,2023-07-29,Saturday,Evening,62187,16781,Supermarket,0,0,98559,Cloudy,2,38349,2023,7,July,3,45406,63.09621647946915,Normal
ATM_0015,2022-05-22,Sunday,Night,65052,11806,Mall,0,0,130760,Clear,1,63284,2022,5,May,2,53246,49.749158764148056,Normal
ATM_0041,2022-06-13,Monday,Night,10703,14109,Supermarket,0,0,101740,Cloudy,4,0,2022,6,June,2,-3406,10.51995282091606,Normal
ATM_0030,2023-06-26,Monday,Evening,45514,8901,Supermarket,0,0,107142,Clear,5,36069,2023,6,June,2,36613,42.480073173918726,Normal
ATM_0047,2022-04-28,Thursday,Evening,37872,7491,Standalone,0,0,118308,Cloudy,1,38027,2022,4,April,2,30381,32.01136017851709,Normal
ATM_0030,2022-01-04,Tuesday,Evening,54931,10485,Supermarket,0,0,119372,Clear,5,51745,2022,1,January,1,44446,46.01665382166672,Normal
ATM_0020,2023-10-17,Tuesday,Afternoon,39469,8361,Bank Branch,0,0,92157,Rainy,4,36710,2023,10,October,4,31108,42.82800004340419,Normal
